,train,test,all
4584,0.998464968386,0.998634409509,0.99849096527
4585,0.999088367815,0.999101119855,0.999073255845
4586,0.997350147382,0.997026618282,0.997164408924
4587,0.998710314301,0.998014945257,0.99816496456
4588,0.998532702238,0.998391649708,0.998493015589
4589,0.997540210495,0.997500142732,0.997576523028
4590,0.998467964806,0.998508546507,0.997806158748
4591,0.997926763842,0.996561879896,0.996906068739
4592,0.998480180735,0.997558497673,0.997925077246
4593,0.997134898528,0.99643186936,0.996512407505
4594,0.997285129386,0.996992239334,0.997211566259
4595,0.996740783962,0.996840210317,0.996992182134
4596,0.996982034075,0.995975575324,0.99644474698
4597,0.999045212722,0.999049695111,0.998454059529
4598,0.998432370464,0.998325258444,0.998339241669
4599,0.5,0.5,0.5
4600,0.997004222963,0.996670131828,0.996742043225
4601,0.997091262699,0.996928277938,0.997029087875
4602,0.999794368871,0.999711873572,0.999241381997
4603,0.998061315726,0.997344464419,0.997455554211
4604,0.997313262712,0.996148784485,0.996742043225
4605,0.997958986498,0.997122890285,0.997537566969
4606,0.999105331518,0.999141582471,0.999145017007
4607,0.997730692586,0.997703913367,0.997683139612
4608,0.997671513962,0.996595599253,0.996709238122
4609,0.997470251212,0.997342750853,0.997461705168
4610,0.996978999967,0.99718491833,0.996844559171
4611,0.997554500019,0.997621670338,0.997574472709
4612,0.997440628273,0.996641859145,0.996737942587
4613,0.998743582523,0.997863059847,0.998144461371
4614,0.997213540195,0.997410629863,0.997070094253
4615,0.999373848489,0.999111460451,0.99917782211
4616,0.998752048405,0.997803738507,0.998095253717
4617,0.997454836023,0.997606839013,0.997476057401
4618,0.998096328227,0.998368327073,0.998230574766
4619,0.997130713376,0.996793672633,0.997059842659
4620,0.997414267452,0.997479626317,0.997660586104
4621,0.996653979504,0.996747246903,0.996610822813
4622,0.997843195212,0.997485822714,0.997566271434
4623,0.997114573974,0.997261444038,0.9973243338
4624,0.997656554559,0.997346201349,0.997063943296
4625,0.997393786282,0.997555794326,0.99738174273
4626,0.997280193999,0.997292503415,0.996992182134
4627,0.997493262888,0.997563384919,0.997043440107
4628,0.997128092172,0.99574976701,0.996278671147
4629,0.997975467429,0.997942602378,0.998011190641
4630,0.997561688447,0.997681369143,0.997748749818
4631,0.999868032881,0.999874941505,0.999842125443
4632,0.997428686875,0.997099474401,0.996883515231
4633,0.996788706883,0.996897653007,0.99686506236
4634,0.997986237177,0.997030911381,0.997414547833
4635,0.997013441518,0.996606325679,0.996518558462
4636,0.996868209903,0.996772317534,0.99678920056
4637,0.99676240465,0.996969593499,0.997029087875
4638,0.999139769458,0.999232018904,0.999222929127
4639,0.997948263196,0.997264004479,0.997295629335
4640,0.999481865285,0.998743083881,0.998874374909
4641,0.999451685198,0.998487583348,0.99873905386
